title,company,postion,from,skill,link,salay,requirements
Ruby ON Rails Developer,Confidential ,"Nasr City, Cairo, Egypt",6 days ago,Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Quality · APIs · Information Technology (IT) · JavaScript · MVC · Programming · Ruby · Rails · Python,https://wuzzuf.net/jobs/p/FSc0N0zSlthe-Ruby-ON-Rails-Developer-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|navbl,,
Data Analyst,London International Patient Services ,"Sheraton, Cairo, Egypt",14 days ago,Entry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Customer Support · XML · Software Development · Computer Skills · English · Support Desk · Technical Support,https://wuzzuf.net/jobs/p/oi4BuGQEFaXn-Data-Analyst-London-International-Patient-Services-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Full Stack Developer,Centro CDX ,"Maadi, Cairo, Egypt",14 days ago,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Angular · C# · HTML · JavaScript · Python · ASP.Net · Software Development,https://wuzzuf.net/jobs/p/MxEiIvwUkSEm-Senior-Full-Stack-Developer-Centro-CDX-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|navbl,,
Junior Software Tester,RDI ,"Dokki, Giza, Egypt",8 days ago,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Testing · Software Testing · QC · Quality Control · Automation Testing · API · JMeter,https://wuzzuf.net/jobs/p/USO9xeaTU5qs-Junior-Software-Tester-RDI-Giza-Egypt?o=32&l=sp&t=sj&a=python|search-v3|navbl,,
Data Analyst,Safa International Travel ,"Dokki, Giza, Egypt",15 days ago,Experienced · 3 - 5 Yrs of Exp · Business Development · Analyst/Research · Analyze · Analysis · BI · business · Computer Science · Data · Data Analysis · Database,https://wuzzuf.net/jobs/p/DXVhZh7EX9nn-Data-Analyst-Safa-International-Travel-Giza-Egypt?o=33&l=sp&t=sj&a=python|search-v3|navbl,,
Backend Developer -Senior,intella ,"Dokki, Giza, Egypt",15 days ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · Computer Science · engineer · Software · Software Development · Software Engineering · Software engineer · Information Technology (IT),https://wuzzuf.net/jobs/p/feC0HhrTkAQP-Backend-Developer--Senior-intella-Giza-Egypt?o=34&l=sp&t=sj&a=python|search-v3|navbl,,
Linux System Admin- Alexandria,Caduceus Lane ,"Alexandria, Egypt",16 days ago,Experienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Apache · CentOS · Computer Science · DNS · HTTP · Information Systems · Information Technology (IT),https://wuzzuf.net/jobs/p/ehpXRQ0fvd4O-Linux-System-Admin--Alexandria-Caduceus-Lane-Alexandria-Egypt?o=35&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,Archer Solutions ,"New Cairo, Cairo, Egypt",16 days ago,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · PostgreSQL · Github · Computer Engineering · Computer Science · Odoo Development · Software Development,https://wuzzuf.net/jobs/p/hln9x8h4I7vu-Odoo-Developer-Archer-Solutions-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Odoo Developer,E-Jawdah ,"Nasr City, Cairo, Egypt",20 days ago,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Development · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/YnjE54GZk95R-Senior-Odoo-Developer-E-Jawdah-Cairo-Egypt?o=37&l=sp&t=sj&a=python|search-v3|navbl,,
Sr. Back End /Full stack,Salem Ventures ,"New Cairo, Cairo, Egypt",13 days ago,Experienced · 5 - 8 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Agile · API · AWS · back-end · Computer Science · front-end · Information Technology (IT),https://wuzzuf.net/jobs/p/0fAGL6YwEpxQ-Sr-Back-End-Full-stack-Salem-Ventures-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|navbl,,
System Administrator,Servmix ,"Cairo, Egypt",18 days ago,Experienced · 1+ Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Linux · Python · MySQL · WordPress · WHMCS,https://wuzzuf.net/jobs/p/9ml9DvHbrhTd-System-Administrator-Servmix-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|navbl,,
Big Data Engineer,Worex ,"Maadi, Cairo, Egypt",15 days ago,Entry Level · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data · Big Data · Information Technology (IT) · Computer Engineering · Hadoop · ETL · NoSQL,https://wuzzuf.net/jobs/p/nyW6cF5Ydjnt-Big-Data-Engineer-Worex-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|navbl,,
Data Scientist,Seoudi Supermarket ,"Sheikh Zayed, Giza, Egypt",19 days ago,Experienced · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Programming · Python · Algorithms · SQL,https://wuzzuf.net/jobs/p/VssduzQBDTOi-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=41&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Computer Vision Engineer,TensorGraph ,"Maadi, Cairo, Egypt",21 days ago,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Python · R · PyTorch · TensorFlow · Scikit-learn · Troubleshooting,https://wuzzuf.net/jobs/p/6Y0UFr28bvE8-Senior-Computer-Vision-Engineer-TensorGraph-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,Arabia for Information Technology ,"Cairo, Egypt",21 days ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · PostgreSQL · ERP · Odoo Development · Odoo ERP,https://wuzzuf.net/jobs/p/NdyzaIn7yuBA-Odoo-Developer-Arabia-for-Information-Technology-Cairo-Egypt?o=43&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Senior Developer,IT Systems Corporation ,"6th of October, Giza, Egypt",23 days ago,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python · ODOO · Development · Django · E-commerce · Postgres,https://wuzzuf.net/jobs/p/j0UTG7vqx2k8-Odoo-Senior-Developer-IT-Systems-Corporation-Giza-Egypt?o=44&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,Egypt Gold  ,"Heliopolis, Cairo, Egypt",22 days ago,Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Accounting · API · Python · CSS · Information Technology (IT) · XML · PostgreSQL,https://wuzzuf.net/jobs/p/886Xw2Myr9r2-Odoo-Developer-Egypt-Gold-Cairo-Egypt?o=45&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Software Engineer - BackEnd,intella ,"Dokki, Giza, Egypt",22 days ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · Computer Science · engineer · Software · Software Development · Software Engineering · Software engineer · Information Technology (IT),https://wuzzuf.net/jobs/p/M95ROSWJ2xKK-Senior-Software-Engineer---BackEnd-intella-Giza-Egypt?o=46&l=sp&t=sj&a=python|search-v3|navbl,,
Data Science Software Engineer Intern,Seuqel Solutions ,"Cairo, Egypt",26 days ago,Student · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Python · Software · Software Development · Software Engineering · Programming,https://wuzzuf.net/internship/woPTqpa9WDRl-Data-Science-Software-Engineer-Intern-Seuqel-Solutions-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|navbl,,
Cloud DevOps Engineer,ServerHub ,"Cairo, Egypt",26 days ago,Experienced · 1 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · Ansible · Nginx · DevOps · Gitlab · Python · Linux · Information Technology (IT),https://wuzzuf.net/jobs/p/pCO2yefU8465-Cloud-DevOps-Engineer-ServerHub-Cairo-Egypt?o=48&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Odoo Developer,Peerless ,"Mohandessin, Giza, Egypt",26 days ago,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · PostgreSQL · jQuery · JavaScript · XML · HTML · Odoo Development · odoo migration,https://wuzzuf.net/jobs/p/mPod5Xibz9s6-Senior-Odoo-Developer-Peerless-Giza-Egypt?o=49&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,Al-hakeema ,"Nasr City, Cairo, Egypt",30 days ago,Experienced · 2 - 5 Yrs of Exp · males_preferred · IT/Software Development · Implementation · ERP · Engineering · Computer Science · Sales · Odoo ERP · Odoo · MVC · Information Technology (IT),https://wuzzuf.net/jobs/p/dwYaww9FHg3a-Odoo-Developer-Al-hakeema-Cairo-Egypt?o=50&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,arabianopensource ,"Cairo, Egypt",28 days ago,Experienced · 1 - 4 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Odoo · SQL · XML · Programming · Front end · JavaScript · PostgreSQL,https://wuzzuf.net/jobs/p/MPoCwtjvdEzV-Odoo-Developer-arabianopensource-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|navbl,,
Linux System Administrator,Softxpert Incorporation  ,"Alexandria, Egypt",30 days ago,Experienced · 1 - 4 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science,https://wuzzuf.net/jobs/p/h1bPuHHuNDFi-Linux-System-Administrator-Softxpert-Incorporation-Alexandria-Egypt?o=52&l=sp&t=sj&a=python|search-v3|navbl,,
Laravel and React Software Engineer,Libertas ,"Maadi, Cairo, Egypt",30 days ago,Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · Laravel · MySQL · PHP · React · Redis,https://wuzzuf.net/jobs/p/njWneEzED44m-Laravel-and-React-Software-Engineer-Libertas-Cairo-Egypt?o=53&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,Rashid Al Jabri Group ,"Dubai, United Arab Emirates",1 month ago,Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Odoo Development · ODOO DEVELOPER · Information Technology (IT) · Odoo · Python · Programming · Computer Science · Software Development · JavaScript,https://wuzzuf.net/jobs/p/0D9waiTwckuS-Odoo-Developer-Rashid-Al-Jabri-Group-Dubai-United-Arab-Emirates?o=54&l=sp&t=sj&a=python|search-v3|navbl,,
Odoo Developer,Exceed ,"Cairo, Egypt",1 month ago,Experienced · 3 - 9 Yrs of Exp · IT/Software Development · Linux · Git · Odoo · Python · PostgreSQL,https://wuzzuf.net/jobs/p/dlNhC0JhaVjD-Odoo-Developer-Exceed-Cairo-Egypt?o=55&l=sp&t=sj&a=python|search-v3|navbl,,
Senior Full Stack Developer,Eden Solutions ,"Cairo, Egypt",30 days ago,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · software · typescript · Node · Compuer Science · MongoDB · React · AWS · SQL,https://wuzzuf.net/jobs/p/1AqXyZVqDSXF-Senior-Full-Stack-Developer-Eden-Solutions-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|navbl,,
